date,description,paid_by,amount,currency,split_type,split_with,split_details,notes
01/02/2026,Monthly groceries,Aisha,2400,INR,equal,Aisha;Rohan;Priya;Meera,,February groceries
03/02/2026,Electricity bill,Rohan,1850,INR,equal,Aisha;Rohan;Priya;Meera,,
05/02/2026,Dinner at Barbeque,priya,3200,INR,equal,Aisha;Rohan;Priya;Meera,,Case mismatch on paid_by
10/02/2026,Netflix subscription,Meera,599,INR,equal,Aisha;Rohan;Priya;Meera,,
14/02/2026,Valentine dinner,Aisha,2800,INR,percentage,Aisha;Rohan,Aisha:50;Rohan:50,
15/02/2026,Internet bill,Rohan,999,INR,equal,Aisha;Rohan;Priya;Meera,,
20/02/2026,Weekend groceries,Priya S,1200,INR,equal,Aisha;Rohan;Priya;Meera,,Truncated name - should be Priya
25/02/2026,House cleaning,Aisha,800,INR,equal,Aisha;Rohan;Priya;Meera,,
01/03/2026,Monthly groceries,Aisha,2600,INR,equal,Aisha;Rohan;Priya;Meera,,March groceries
05/03/2026,Electricity bill,Rohan,1950,INR,equal,Aisha;Rohan;Priya;Meera,,
10/03/2026,Dinner at Barbeque,Rohan,3200,INR,equal,Aisha;Rohan;Priya;Meera,,Possible duplicate with row 4 entry
12/03/2026,Gas bill,Priya,450,INR,equal,Aisha;Rohan;Priya;Meera,,
15/03/2026,Internet bill,Meera,999,INR,equal,Aisha;Rohan;Priya;Meera,,
18/03/2026,Movie night,Aisha,1200,INR,share,Aisha;Rohan;Priya;Meera,Aisha:2;Rohan:2;Priya:1;Meera:1,Share-based split
20/03/2026,Rohan paid Aisha back,Rohan,2000,INR,equal,,,Settlement disguised as expense
25/03/2026,Farewell dinner for Meera,Aisha,4500,INR,equal,Aisha;Rohan;Priya;Meera,,
31/03/2026,Final electricity - March,Rohan,1800,INR,equal,Aisha;Rohan;Priya;Meera;Sam,,Sam included but joined April
Mar-14,Team lunch,Priya,899.995,INR,equal,Aisha;Rohan;Priya,,Malformed date + imprecise amount
05-04-2026,April groceries,Aisha,2800,INR,equal,Aisha;Rohan;Priya;Sam,,Ambiguous date DD-MM or MM-DD
10/04/2026,Sam deposit share,Sam,5000,INR,equal,,,Deposit not a shared expense
12/04/2026,Dinner out,Rohan,1800,INR,equal,Aisha;Rohan;Priya;Sam;Meera,,Meera in split after she left
15/04/2026,Goa trip - hotel,Dev,25000,INR,equal,Aisha;Rohan;Priya;Dev,,
18/04/2026,Goa trip - activities,Dev,150,USD,equal,Aisha;Rohan;Priya;Dev,,USD expense - needs conversion
20/04/2026,Goa trip - food,Aisha,80,USD,equal,Aisha;Rohan;Priya;Dev,,Another USD expense
22/04/2026,Goa trip - transport,Rohan,-30,,equal,Aisha;Rohan;Priya;Dev,,Negative amount refund + missing currency
25/04/2026,Goa trip - activities,Dev,150,USD,equal,Aisha;Rohan;Priya;Dev,,Exact duplicate of row 24
28/04/2026,Cable bill,Priya,600,INR,percentage,Aisha;Rohan;Priya;Sam,Aisha:40;Rohan:40;Priya:40;Sam:0,Percentages sum to 120%
30/04/2026,May groceries advance,Aisha,0,INR,equal,Aisha;Rohan;Priya;Sam,,Zero amount - data correction
01/05/2026,Monthly groceries,Aisha,3100,INR,equal,Aisha;Rohan;Priya;Sam,,
05/05/2026,Electricity bill,Sam,2100,INR,equal,Aisha;Rohan;Priya;Sam,,
10/05/2026,Dinner party with Kabir,Rohan,5500,INR,equal,Aisha;Rohan;Priya;Sam;Kabir,,Non-member Kabir in split
15/05/2026,Internet renewal,Priya,1199,INR,equal,Aisha;Rohan;Priya;Sam,,
20/05/2026,Monthly groceries,Aisha,3100,INR,equal,Aisha;Rohan;Priya;Sam,,Exact duplicate of row 29
25/05/2026,House repairs,Rohan,8500,INR,exact,Aisha;Rohan;Priya;Sam,Aisha:2500;Rohan:3000;Priya:2000;Sam:1000,
